"Could you lend me $1000, please?",lover,Right,Yes,5,-5,-5,0,,30,,
"Could you lend me $1000, please?",lover,Left,No,-5,0,3,0,,30,,
Do you want to spend a weekend in NYC with me?,lover,Right,Yes,5,-10,5,0,,25,,
Do you want to spend a weekend in NYC with me?,lover,Left,No,-5,5,-5,0,,25,,
"If you want to have sex with the guy/girl of your dreams, you need to pay $500. Will you pay? ",therapist,Right,yes,5,-5,10,0,,-100,,
"If you want to have sex with the guy/girl of your dreams, you need to pay $500. Will you pay? ",therapist,Left,no,-5,3,-3,0,,-100,,
We offer you a car with a 10% discount. Do you buy it?,seller,Right,yes,0,-3,-3,0,,-100,,
We offer you a car with a 10% discount. Do you buy it?,seller,Left,no,0,-3,0,0,,-100,,
Do you want to improve your career by paying for an MBA programme?,boss,Right,yes,0,-5,3,0,,-40,,
Do you want to improve your career by paying for an MBA programme?,boss,Left,no,0,5,0,0,,-40,,
Your dog is biting everyone in the street. The police is ticketing you all the time. Do you pay for killing him?,dog,Right,no,5,-5,5,0,,-100,,
Your dog is biting everyone in the street. The police is ticketing you all the time. Do you pay for killing him?,dog,Left,yes,-5,-5,-3,-5,,-100,,
I've noticed that lately they are bullying you on work. Will you quit?,colleague,Right,"yes, I can't stand that",0,-5,5,5,,-100,,
I've noticed that lately they are bullying you on work. Will you quit?,colleague,Left,"no, fuck them",5,0,-5,-3,,-100,,
Your are driving too fast!,authority,Right,STOP!,0,-5,-5,3,,-100,,
Your are driving too fast!,authority,Left,Run,0,3,3,-3,,-100,,
I give you my whole heritage to you.,smoky granny,Right,I'll share it,5,3,3,3,,-100,,
I give you my whole heritage to you.,smoky granny,Left,Awesome,-10,5,0,-3,,-100,,
Do you want to promote your career by going abroad?,boss,Right,"Yes, I want to go abroad",-3,5,0,0,,-100,,
Do you want to promote your career by going abroad?,boss,Left,"No, I want to stay",3,-3,0,0,,-100,,
We've got a new project. Do you want to make some extra money working on weekends?,boss,Left,Of course.,-5,5,-5,-10,,-100,,
We've got a new project. Do you want to make some extra money working on weekends?,boss,Right,I'm not interested in.,5,0,10,5,,-100,,
I've just found a great offer to go skiing in the Alps for a week! Shall we go?,lover,Right,"yes, dude let's go",0,-5,5,3,,-100,,
I've just found a great offer to go skiing in the Alps for a week! Shall we go?,lover,Right,"no, I don't have money",0,3,-3,-3,,-100,,
I have a brilliant start-up idea. Do you want to invest in it? ,trump,Right,"Yes, we can",-5,5,-3,0,,-100,,
I have a brilliant start-up idea. Do you want to invest in it? ,trump,Left,"No, I love Mexicans",5,-3,3,0,,-100,,
If you bring this weed over the border I will pay you $5000,drug dealer,Right,"yes, I will do it",0,5,5,-3,,-100,,
If you bring this weed over the border I will pay you $5000,drug dealer,Left,no way,0,-3,0,5,,-100,,
You are ready for a month of retreat in India. All you need to do is pay $2500.,boss,Right,"Yes, I would love to",-3,-5,0,5,,-100,,
You are ready for a month of retreat in India. All you need to do is pay $2500.,boss,Left,I think you should pay it,0,0,0,-3,,-100,,
Do you want to invest in the building of the great southern wall?,trump,Right,yes,-5,-5,-5,-10,,-100,,
Do you want to invest in the building of the great southern wall?,trump,Left,"no, I love mexicans ",5,0,0,0,,-100,,
I am your best friend and I deserve steak everyday. ,dog,Right,"yes, I will buy it",5,-5,0,0,,-100,,
I am your best friend and I deserve steak everyday. ,dog,Left,"no way, your food is ok",-5,5,0,0,,-100,,
"I need to take a cab home, I lost my wallet, can you give me $100?",stranger,Right,yes,3,-5,3,0,,-100,,
"I need to take a cab home, I lost my wallet, can you give me $100?",stranger,Left,no,0,3,0,0,,-100,,
Will you open your house for the refugees that are coming to your city?,authority,Right,yes,10,-3,0,0,,-100,,
Will you open your house for the refugees that are coming to your city?,authority,Left,no,-5,0,-3,-3,,-100,,
I just hacked our boss' email account.,colleague,Left,Seriously?,0,-3,0,0,,-100,,
